context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
is there an option for *NUMBER o'clock in the *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go?,From where to where?,From where to where do you want to go?,is there an option for seven o'clock in the morning,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from and where are you trying to go?,From where to where?,From where to where do you want to go?
no i would like to travel to *STOP,1,"inform(to_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",The line *LINE *VEHICLE at *DEPARTURE_TIME can take you from *FROM_STOP to *DIRECTION.,You can take the line *LINE of the *VEHICLE from *FROM_STOP direction *DIRECTION at *DEPARTURE_TIME.,You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,no i would like to travel to Prince Street,"inform(to_stop=""*STOP"")","inform(direction=""Prince Street"")&inform(from_stop=""Rector Street"")&inform(vehicle=""subway"")&inform(line=""3"")&inform(departure_time=""3:15pm"")",The line 3 subway at 3:15pm can take you from Rector Street to Prince Street.,You can take the line 3 of the subway from Rector Street direction Prince Street at 3:15pm.,You can use subway 3 at 3:15pm from Rector Street to Prince Street.
can i go from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")","Yes, *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,"Yes sir, you just have to take the *VEHICLE in the line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.",can i go from Columbia University to Grand Central,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(line=""D"")&inform(from_stop=""Columbia University"")&inform(vehicle=""subway"")&inform(direction=""Grand Central"")&inform(departure_time=""10:07am"")","Yes, subway line D from Columbia University to Grand Central at 10:07am.",Take line D subway at 10:07am from Columbia University direction Grand Central.,"Yes sir, you just have to take the subway in the line D at 10:07am from Columbia University to Grand Central."
is there a connection at *NUMBER in the *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")",I'm sorry there is no connection at *DEPARTURE_TIME *AMPM.,"Sorry, a connection at *DEPARTURE_TIME *AMPM is not found.",Sorry but I could not find a connection at *DEPARTURE_TIME *AMPM.,is there a connection at eight in the morning,"inform(departure_time=""8:00"")&inform(ampm=""am"")","inform_no_match(departure_time=""8:00"")&inform_no_match(ampm=""am"")",I'm sorry there is no connection at 8:00 am.,"Sorry, a connection at 8:00 am is not found.",Sorry but I could not find a connection at 8:00 am.
what about later options,1,"inform(alternative=""next"")","inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",There's a *VEHICLE on line *LINE at *DEPARTURE_TIME traveling from *FROM_STOP to *DIRECTION.,Take the *VEHICLE *LINE at *DEPARTURE_TIME direction *DIRECTION from *FROM_STOP.,*VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION will work.,what about later options,"inform(alternative=""next"")","inform(from_stop=""Cathedral Parkway"")&inform(vehicle=""bus"")&inform(direction=""Broad Street"")&inform(line=""M2"")&inform(departure_time=""11:04am"")",There's a bus on line M2 at 11:04am traveling from Cathedral Parkway to Broad Street.,Take the bus M2 at 11:04am direction Broad Street from Cathedral Parkway.,Bus M2 at 11:04am from Cathedral Parkway to Broad Street will work.
i want to go from *STOP,3,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")","I'm sorry, I could not find a connection from *FROM_STOP.","I'm sorry, I cannot find a route from *FROM_STOP.","Sorry, I cannot find a route from *FROM_STOP.",i want to go from Inwood,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""Inwood"")","I'm sorry, I could not find a connection from Inwood.","I'm sorry, I cannot find a route from Inwood.","Sorry, I cannot find a route from Inwood."
i need to get from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")",Take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *DEPARTURE_TIME *LINE line *VEHICLE from *FROM_STOP to *DIRECTION.,You can take the *DEPARTURE_TIME *VEHICLE on the line *LINE from *FROM_STOP to *DIRECTION.,i need to get from Grand Central to Columbia University,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""subway"")&inform(direction=""Columbia University"")&inform(departure_time=""7:15pm"")&inform(line=""D"")&inform(from_stop=""Grand Central"")",Take subway line D from Grand Central to Columbia University at 7:15pm.,Take the 7:15pm D line subway from Grand Central to Columbia University.,You can take the 7:15pm subway on the line D from Grand Central to Columbia University.
connection from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")","Sorry, no route was found from *FROM_STOP to *TO_STOP.",Connections from *FROM_STOP to *TO_STOP are not found.,I'm sorry but I've not found a route to *TO_STOP from *FROM_STOP.,connection from Grand Central to Bowling Green,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Grand Central"")&inform_no_match(to_stop=""Bowling Green"")","Sorry, no route was found from Grand Central to Bowling Green.",Connections from Grand Central to Bowling Green are not found.,I'm sorry but I've not found a route to Bowling Green from Grand Central.
how long will it t-,1,request(distance),"inform(distance=""*DISTANCE"")",No more than *DISTANCE.,Sir it will take *DISTANCE.,It is roughly *DISTANCE.,how long will it t-,request(distance),"inform(distance=""11.8 miles"")",No more than 11.8 miles.,Sir it will take 11.8 miles.,It is roughly 11.8 miles.
-klin street and going to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)","You would like to go to *TO_STOP, where would you like to go from?","To *TO_STOP from where, please?",Where would you like to get to *TO_STOP from?,-klin street and going to Central Park,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Central Park"")&request(from_stop)","You would like to go to Central Park, where would you like to go from?","To Central Park from where, please?",Where would you like to get to Central Park from?
*STOP going to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I'm really sorry but the requested transportation from *FROM_STOP to *TO_STOP is not found.,*FROM_STOP to *TO_STOP route is not found.,"I'm sorry, I cannot find a route from *FROM_STOP to *TO_STOP.",Chambers Street going to Central Park,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Chambers Street"")&inform_no_match(to_stop=""Central Park"")",I'm really sorry but the requested transportation from Chambers Street to Central Park is not found.,Chambers Street to Central Park route is not found.,"I'm sorry, I cannot find a route from Chambers Street to Central Park."
i would like to travel from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,The *VEHICLE line *LINE is going from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.,i would like to travel from Inwood to Bleecker Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""subway"")&inform(direction=""Bleecker Street"")&inform(from_stop=""Inwood"")&inform(line=""E"")&inform(departure_time=""9:13am"")",Take line E subway at 9:13am from Inwood direction Bleecker Street.,The subway line E is going from Inwood to Bleecker Street at 9:13am.,At 9:13am by subway line E from Inwood direction Bleecker Street.
can you give me the second option,1,"inform(alternative=""2"")","inform_no_match(alternative=""*ALTERNATIVE"")",Sorry sir but I could not found the option *ALTERNATIVE.,"I'm sorry, I could not find a *ALTERNATIVE-th option.",I'm sorry but a *ALTERNATIVE-th option could not be found.,can you give me the second option,"inform(alternative=""2"")","inform_no_match(alternative=""2"")",Sorry sir but I could not found the option 2.,"I'm sorry, I could not find a second option.",I'm sorry but a 2nd option could not be found.
i want to know about a trip going from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)","From *FROM_STOP, to what destination?","You need a trip from *FROM_STOP to where, sir?",OK you are going from *FROM_STOP to which stop?,i want to know about a trip going from Canal Street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Canal Street"")&request(to_stop)","From Canal Street, to what destination?","You need a trip from Canal Street to where, sir?",OK you are going from Canal Street to which stop?
i would like to go to *STOP,7,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",You said that you would like to go to *TO_STOP.,To *TO_STOP.,You want to go to *TO_STOP.,i would like to go to Delancey Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Delancey Street"")",You said that you would like to go to Delancey Street.,To Delancey Street.,You want to go to Delancey Street.
i would like to go to *STOP,2,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",So to *TO_STOP right?,"OK, you wish to go to *TO_STOP.",Confirm travel to *TO_STOP.,i would like to go to Herald Square,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Herald Square"")",So to Herald Square right?,"OK, you wish to go to Herald Square.",Confirm travel to Herald Square.
i'd rather use the *VEHICLE,2,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")","OK, you want a *VEHICLE instead.",OK you rather use the *VEHICLE.,You want a *VEHICLE.,i'd rather use the bus,"inform(vehicle=""bus"")","iconfirm(vehicle=""bus"")","OK, you want a bus instead.",OK you rather use the bus.,You want a bus.
i would like a ride at *NUMBER *AMPM and would like to take the *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")&inform_no_match(vehicle=""*VEHICLE"")","I'm sorry, a *VEHICLE connection at *DEPARTURE_TIME *AMPM was not found.",I did not find info about a *DEPARTURE_TIME *AMPM *VEHICLE ride.,"Sorry, *DEPARTURE_TIME *AMPM *VEHICLE is not found.",i would like a ride at eight pm and would like to take the subway,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")&inform(vehicle=""subway"")","inform_no_match(departure_time=""8:00"")&inform_no_match(ampm=""pm"")&inform_no_match(vehicle=""subway"")","I'm sorry, a subway connection at 8:00 pm was not found.",I did not find info about a 8:00 pm subway ride.,"Sorry, 8:00 pm subway is not found."
how long will it take to go from *STOP to *STOP by *VEHICLE,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")&iconfirm(vehicle=""*VEHICLE"")","From *FROM_STOP to *TO_STOP, *VEHICLE.","OK sir, you want to go from *FROM_STOP to *TO_STOP by *VEHICLE.","OK, from *FROM_STOP to *TO_STOP by *VEHICLE.",how long will it take to go from East Broadway to Times Square by subway,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""subway"")&request(duration)","iconfirm(from_stop=""East Broadway"")&iconfirm(to_stop=""Times Square"")&iconfirm(vehicle=""subway"")","From East Broadway to Times Square, subway.","OK sir, you want to go from East Broadway to Times Square by subway.","OK, from East Broadway to Times Square by subway."
connection to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",To *TO_STOP.,To *TO_STOP OK.,I understand you want a connection to *TO_STOP.,connection to Broad Street,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Broad Street"")",To Broad Street.,To Broad Street OK.,I understand you want a connection to Broad Street.
what about the next ride,1,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")",I'm sorry there is no available ride at later time.,"No route found later, sorry.","I'm sorry, I was not able to find a later ride.",what about the next ride,"inform(alternative=""next"")","inform_no_match(alternative=""next"")",I'm sorry there is no available ride at later time.,"No route found later, sorry.","I'm sorry, I was not able to find a later ride."
destination is *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&request(from_stop)",I understand you want to go to *TO_STOP. Please confirm where you are leaving from.,"Yes, to *TO_STOP but from where to?",You want to go to *TO_STOP from where?,destination is Bowery,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Bowery"")&request(from_stop)",I understand you want to go to Bowery. Please confirm where you are leaving from.,"Yes, to Bowery but from where to?",You want to go to Bowery from where?
i'd like it from *STOP to the,1,"inform(from_stop=""*STOP"")",request(to_stop),But where would you like to go?,Sir I need you to tell me where do you want to go?,Where are you going to?,i'd like it from Inwood to the,"inform(from_stop=""*STOP"")",request(to_stop),But where would you like to go?,Sir I need you to tell me where do you want to go?,Where are you going to?
i am looking for a transit schedule from *STOP headed to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",A route from *FROM_STOP to *TO_STOP is not found.,Sorry a service from *FROM_STOP to *TO_STOP is not found.,Not found from *FROM_STOP to *TO_STOP.,i am looking for a transit schedule from Central Park headed to Cortlandt Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Central Park"")&inform_no_match(to_stop=""Cortlandt Street"")",A route from Central Park to Cortlandt Street is not found.,Sorry a service from Central Park to Cortlandt Street is not found.,Not found from Central Park to Cortlandt Street.
