Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
i'm traveling from central park	i'm traveling from *STOP	inform(from_stop="Central Park")	inform(from_stop="*STOP")
		silence()	silence()
		silence()	silence()
		silence()	silence()
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
what time is it right now	what time is it right *TIME	inform(time_rel="now")&request(current_time)	inform(time_rel="*TIME_REL")&request(current_time="*CURRENT_TIME")
what's the weather like in waco	what's the weather like in *CITY	inform(in_city="Waco")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
the state of texas	the state of *STATE	inform(state="Texas")	inform(state="*STATE")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
i would like to go from the	i would like to go from the	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
central park and	*STOP and	inform(stop="Central Park")	inform(stop="*STOP")
		silence()	silence()
from central park to a the empire state building	from *STOP to a the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
		silence()	silence()
from the central park to the empire state building	from the *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
empire from the central park to	*CITY from the *STOP to	inform(from_stop="Central Park")&inform(to_city="Empire")	inform(from_stop="*STOP")&inform(to_city="*CITY")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from central park to empire state building	i want to go from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(task="find_connection")
what time was that	what time was that	null()	null()
		silence()	silence()
and how many transfers is there	and how many transfers is there	request(num_transfers)	request(num_transfers)
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what about the time requirements	what about the time requirements	request(duration)	request(duration)
what is the next connection	what is the next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
time	time	null()	null()
how long for travel	how long for travel	request(duration)	request(duration)
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
travel time	travel time	request(duration)	request(duration)
how long for travel	how long for travel	request(duration)	request(duration)
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from central park	i want to go from *STOP	inform(from_stop="Central Park")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(task="find_connection")
i want to go to the empire state building	i want to go to the *STOP	inform(to_stop="Empire State Building")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(task="find_connection")
		silence()	silence()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
what is the weather like in cleveland	what is the weather like in *CITY	inform(in_city="Cleveland")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
ohio	*CITY	inform(state="Ohio")	inform(state="*STATE")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is the weather like in new york	what is the weather like in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a bus connection from central park from	i want to find a *VEHICLE connection from *STOP from	inform(from_stop="Central Park")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to find a bus connection from central park to empire state building	i want to find a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
next connection	next connection	inform(task="find_connection")&inform(alternative="next")	inform(task="find_connection")&inform(alternative="next")
		silence()	silence()
		silence()	silence()
weather forecast for new york city	weather forecast for *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
reset	reset	restart()	restart()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how long does it take	how long does it take	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
and what is the weather like in warren pennsylvania	and what is the weather like in *CITY *STATE	inform(in_city="Warren")&inform(in_state="Pennsylvania")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
		silence()	silence()
pennsylvania	*STATE	inform(state="Pennsylvania")	inform(state="*STATE")
		silence()	silence()
alright what is the weather like in erie	alright what is the weather like in *CITY	inform(in_city="Erie")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
		silence()	silence()
yes i would like to know when i could catch the next transportation from central park	yes i would like to know when i could catch the next transportation from *STOP	inform(from_stop="Central Park")&affirm()&inform(alternative="next")	inform(from_stop="*STOP")&affirm()&inform(alternative="next")
to the empire state building	to the *STOP	inform(to_stop="Empire State Building")	inform(to_stop="*STOP")
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
time requirements	time requirements	request(duration)	request(duration)
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
weather in new york	weather in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
i need to find the bus connection from central park to empire state building	i need to find the *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
and what is the weather forecast for today	and what is the weather forecast for *DATE_REL	inform(date_rel="today")&inform(task="weather")	inform(date_rel="*DATE_REL")&inform(task="weather")
		silence()	silence()
yes i need a connection a bus connection from central park to empire state building	yes i need a connection a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")&affirm()	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&affirm()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
		silence()	silence()
how long will it take	how long will it take	request(duration)	request(duration)
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
what is the weather like in new york	what is the weather like in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i would like to find a bus connection from central park to empire state building	i would like to find a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
i want to find a bus connection from central park to the empire state building	i want to find a *VEHICLE connection from *STOP to the *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i wanna find a bus connection from central park to empire state building	i wanna find a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
i want a bus connection from central park to empire state building	i want a *VEHICLE connection from *STOP to *STOP	inform(from_stop="Central Park")&inform(to_stop="Empire State Building")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(to_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
